Класс обслуживания,Дата вылета,Город отправления,Город назначения,Цена билета (USD),Авиакомпания,Номер рейса,Дата возвращения,Количество пересадок
Эконом,2025-03-02T12:05:00+06:00,ALA,NQZ,86,DV,747,2025-03-03T12:05:00+06:00,0
Эконом,2025-03-03T21:10:00+06:00,ALA,SCO,110,DV,718,2025-03-10T05:30:00+05:00,1
Эконом,2025-03-02T14:45:00+06:00,ALA,CIT,134,FS,7055,2025-03-03T07:20:00+06:00,1
Эконом,2025-03-02T14:05:00+06:00,ALA,URA,207,FS,7165,2025-03-08T16:15:00+05:00,0
Эконом,2025-03-02T15:10:00+06:00,ALA,UKK,95,FS,7171,2025-03-04T19:45:00+06:00,0
Эконом,2025-04-03T06:45:00+06:00,ALA,KZO,141,FS,7051,2025-04-09T13:30:00+05:00,1
Эконом,2025-03-03T08:25:00+06:00,ALA,PLX,138,FS,7053,2025-03-04T10:15:00+06:00,1
Эконом,2025-03-02T14:20:00+06:00,ALA,PWQ,177,FS,7131,2025-03-23T16:40:00+06:00,0
Эконом,2025-03-02T16:20:00+06:00,ALA,DMB,109,DV,743,2025-03-11T11:50:00+06:00,1
Эконом,2025-03-02T21:20:00+06:00,NQZ,ALA,106,IQ,359,2025-03-04T14:55:00+06:00,0
Эконом,2025-03-02T18:30:00+06:00,NQZ,SCO,163,DV,741,2025-03-09T02:40:00+05:00,0
Эконом,2025-03-02T23:20:00+06:00,NQZ,CIT,86,DV,736,2025-03-03T07:35:00+06:00,0
Эконом,2025-03-04T07:55:00+06:00,NQZ,URA,176,FS,7365,2025-03-07T20:55:00+05:00,0
Эконом,2025-03-05T17:20:00+06:00,NQZ,UKK,104,FS,7371,2025-03-10T19:45:00+06:00,0
Эконом,2025-03-09T08:05:00+06:00,NQZ,KZO,126,FS,7315,2025-03-10T10:25:00+05:00,0
Эконом,2025-03-02T16:25:00+06:00,NQZ,PLX,106,FS,7351,2025-03-05T18:20:00+06:00,0
Эконом,2025-03-02T20:20:00+06:00,NQZ,PWQ,68,IQ,531,2025-03-23T22:00:00+06:00,0
Эконом,2025-03-04T09:25:00+06:00,NQZ,DMB,120,DV,755,2025-03-06T06:30:00+06:00,0
Эконом,2025-03-03T22:15:00+05:00,SCO,ALA,112,DV,710,2025-03-11T00:40:00+06:00,1
Эконом,2025-03-02T16:40:00+05:00,SCO,NQZ,188,FS,7576,2025-03-04T12:25:00+06:00,1
